id;ticket;description;due_date;done
1;out-of-the-box Grocery SMTP;bus;2021-10-10;false
2;Group Afghanistan;SDD Seychelles;2021-10-10;true
3;Borders Norwegian;killer;2021-10-09;false
4;modular;synergies array frame;2021-10-09;false
5;Lane Chair Music;maroon;2021-10-09;true
6;Plastic collaboration;CSS;2021-10-09;true
7;Soft Afghani;Zloty deposit;2021-10-09;false
8;SAS;ROI deposit Chair;2021-10-09;false
9;Multi-layered;Berkshire payment expedite;2021-10-09;false
10;matrix harness;Account;2021-10-09;true
